Store Number,Store Name
4210,Sichanh Liquor Store
4213,Sunny's Mart
4214,New Star Liquor / Lafayet / Waterloo
4215,New Star Market #1 / Waterloo
4218,Liquor and Tobacco Outlet /
4219,Lake Liquors Wine and Spirits
4221,Kwik Stop / Texas St
4222,Station Mart Liquor and Tobbacco
4223,STATION MART LIQUOR AND TOBACCO
4225,T P Plaza
4226,Hartig Drug #12 / Waukon
4228,Fareway Stores #462 / Vinton
4229,Fareway Stores #790 / Harlan
4230,Fareway Stores #106 / Clive
4231,Fareway Stores #719 / Le Mars
4232,"Elliott's General Store,"
4233,Fareway Stores #815 / Cresco
4234,Fareway Stores #788 / Spencer
4235,Fareway Stores #395 / Webster City
4236,Fareway Stores #551 / Eagle Grove
4239,Fareway Stores #850 / Spirit Lake
4246,Fareway Stores #938 / Shenandoah
4247,Fareway Stores #879 / Belmond
4248,Fareway Stores #021 / Sheldon
4249,Fareway Stores #048 / Clarinda
4250,Fareway Stores #882 / Eldora
4251,Aj's Liquor / Ames
4252,Fareway Stores #840 / Monticello
4253,Fareway Stores #683 / Winterset
4254,Fareway Stores #849 / Emmetsburg
4255,FAREWAY STORES #058 / ORANGE CITY
4256,Fareway Stores #912 / Sioux Center
4257,Broadway Liquor
4258,Fareway Stores #009 / Burlington
4259,Kum & Go #175 Liquors / Oskaloosa
4260,Fareway Stores #699 / Osceola
4262,Cork and Bottle / Carroll
4265,Kwik Stop 3 / Waterloo
4266,Wal-Mart 1683 / Shenandoah
4267,Main Street Market Of Anita
4268,Fareway Stores #531 / Algona
4269,Tipton Family Foods
4270,Kum & Go Liquors #37 / Ottumwa
4271,Fareway Stores #827 / Centerville
4272,Fareway Stores #407 / Esterville
4273,Smokin' Joe's #4 Tobacco and Liquor Outlet
4274,Ruthven Meat Processing
4275,Fareway Stores #980 / Knoxville
4276,Wj's Liquor
4277,Cork It!
4279,Keota Eagle Foods
4280,Slagle's Grocery / Le Claire
4282,Point Liquor and Tobacco /
4283,Guppys On The Go
4284,Fareway Stores #559 / Iowa Falls
4285,Fareway Stores #922 / New Hampton
4288,Uptown Liquor and Tobacco
4289,Fareway Stores #062 / Waukon
4291,Fareway Stores #597 / Creston
4293,Eddyville Market and Deli L
4294,Lena's Liquors
4295,Nat Food Mart #1 / Hubbell
4296,Circle B Market
4297,Discount Liquor / Cedar Rapids
4298,Terry's Food Center
4299,Hometown Market / Central City
4300,Fareway Stores #625 / Oskaloosa
4301,Sahota Food Mart
4302,Shop N Save / Des Moines
4303,Mepo Foods
4304,Downtown Pantry / Des Moines
4306,Northside One Stop / Hampton
4307,Crossroads Wine and Liquor
4308,Keystone Liquor and Wine / Coralvill
4309,The Party Pantry
4310,Fareway Stores #502 / Cherokee
4311,Fareway Stores #508 / Fort Dodge
4312,I-80 Liquor / Council Bluffs
